,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
71,2022-02-18,154.36511843876667,141.8887560742514,166.36831314490868,154.36511843876667,154.36511843876667,-0.17337931202710327,-0.17337931202710327,-0.17337931202710327,-0.17337931202710327,-0.17337931202710327,-0.17337931202710327,0.0,0.0,0.0,154.19173912673958
72,2022-02-22,153.4751893208357,141.81554019971685,166.8243595869545,153.4751893208357,153.4751893208357,0.8376998269532937,0.8376998269532937,0.8376998269532937,0.8376998269532937,0.8376998269532937,0.8376998269532937,0.0,0.0,0.0,154.312889147789
73,2022-02-23,153.252707048714,141.66930545566697,166.17196371946878,153.252707048714,153.252707048714,0.958717580213322,0.958717580213322,0.958717580213322,0.958717580213322,0.958717580213322,0.958717580213322,0.0,0.0,0.0,154.21142462892732
74,2022-02-24,153.03022477659232,141.46099404770598,165.17409627730748,153.03022477659232,153.03022477659232,0.44932999961289416,0.44932999961289416,0.44932999961289416,0.44932999961289416,0.44932999961289416,0.44932999961289416,0.0,0.0,0.0,153.47955477620522
75,2022-02-25,152.8077425044706,140.3426717500372,165.30135819540592,152.8077425044706,152.8077425044706,-0.17337931202919002,-0.17337931202919002,-0.17337931202919002,-0.17337931202919002,-0.17337931202919002,-0.17337931202919002,0.0,0.0,0.0,152.6343631924414
76,2022-02-28,152.14029568810554,140.5342206584208,166.77633174701964,152.14029568810554,152.14029568810554,1.378352427726486,1.378352427726486,1.378352427726486,1.378352427726486,1.378352427726486,1.378352427726486,0.0,0.0,0.0,153.51864811583204
77,2022-03-01,151.91781341598383,140.55553358085777,164.84741102979922,151.91781341598383,151.91781341598383,0.8376998269521978,0.8376998269521978,0.8376998269521978,0.8376998269521978,0.8376998269521978,0.8376998269521978,0.0,0.0,0.0,152.75551324293602
78,2022-03-02,151.69533114386215,139.51762341674794,165.224040098388,151.69533114386215,151.69533114386215,0.9587175802104244,0.9587175802104244,0.9587175802104244,0.9587175802104244,0.9587175802104244,0.9587175802104244,0.0,0.0,0.0,152.65404872407257
79,2022-03-03,151.47284887174044,138.49356272361905,165.31841723168364,151.47284887174044,151.47284887174044,0.44932999961349174,0.44932999961349174,0.44932999961349174,0.44932999961349174,0.44932999961349174,0.44932999961349174,0.0,0.0,0.0,151.92217887135394
80,2022-03-04,151.25036659961873,137.61876770483258,164.40317692032409,151.25036659961873,151.25036659961873,-0.17337931203127668,-0.17337931203127668,-0.17337931203127668,-0.17337931203127668,-0.17337931203127668,-0.17337931203127668,0.0,0.0,0.0,151.07698728758746
81,2022-03-07,150.58291970020363,139.4982997403047,164.429907338458,150.58291970020363,150.58291970020363,1.37835242772712,1.37835242772712,1.37835242772712,1.37835242772712,1.37835242772712,1.37835242772712,0.0,0.0,0.0,151.96127212793076
82,2022-03-08,150.3604374003986,138.9753835917324,164.25538498583683,150.3604374003986,150.3604374003986,0.8376998269518692,0.8376998269518692,0.8376998269518692,0.8376998269518692,0.8376998269518692,0.8376998269518692,0.0,0.0,0.0,151.1981372273505
83,2022-03-09,150.13795510059356,138.91121102839983,164.48536678353486,150.13795510059356,150.13795510059356,0.9587175802131457,0.9587175802131457,0.9587175802131457,0.9587175802131457,0.9587175802131457,0.9587175802131457,0.0,0.0,0.0,151.0966726808067
84,2022-03-10,149.91547280078854,136.78357298615512,162.13631103307534,149.91547280078854,149.91547280078854,0.44932999961108844,0.44932999961108844,0.44932999961108844,0.44932999961108844,0.44932999961108844,0.44932999961108844,0.0,0.0,0.0,150.36480280039962
85,2022-03-11,149.69299050098348,137.2947254242388,161.72274633575566,149.69299050098348,149.69299050098348,-0.17337931203336338,-0.17337931203336338,-0.17337931203336338,-0.17337931203336338,-0.17337931203336338,-0.17337931203336338,0.0,0.0,0.0,149.5196111889501
86,2022-03-14,149.02554360156842,138.21200268721304,164.18585040735672,149.02554360156842,149.02554360156842,1.3783524277216972,1.3783524277216972,1.3783524277216972,1.3783524277216972,1.3783524277216972,1.3783524277216972,0.0,0.0,0.0,150.4038960292901
87,2022-03-15,148.80306130176336,136.37549768424392,162.00332829865033,148.80306130176336,148.80306130176336,0.8376998269515404,0.8376998269515404,0.8376998269515404,0.8376998269515404,0.8376998269515404,0.8376998269515404,0.0,0.0,0.0,149.6407611287149
88,2022-03-16,148.58057900195834,137.5437497258531,161.17497771602544,148.58057900195834,148.58057900195834,0.9587175802124195,0.9587175802124195,0.9587175802124195,0.9587175802124195,0.9587175802124195,0.9587175802124195,0.0,0.0,0.0,149.53929658217075
89,2022-03-17,148.35809527163994,135.3357223714054,160.04930994135694,148.35809527163994,148.35809527163994,0.4493299996149766,0.4493299996149766,0.4493299996149766,0.4493299996149766,0.4493299996149766,0.4493299996149766,0.0,0.0,0.0,148.8074252712549
90,2022-03-18,148.13561154132148,135.55305661625002,160.4936915408,148.13561154132148,148.13561154132148,-0.17337931203195361,-0.17337931203195361,-0.17337931203195361,-0.17337931203195361,-0.17337931203195361,-0.17337931203195361,0.0,0.0,0.0,147.96223222928953
91,2022-03-21,147.46816035036622,136.07689705582052,162.0022703736045,147.46816035036622,147.46816035036622,1.3783524277231198,1.3783524277231198,1.3783524277231198,1.3783524277231198,1.3783524277231198,1.3783524277231198,0.0,0.0,0.0,148.84651277808933
92,2022-03-22,147.24567662004782,135.2162481607135,161.2625112829554,147.24567662004782,147.24567662004782,0.8376998269512121,0.8376998269512121,0.8376998269512121,0.8376998269512121,0.8376998269512121,0.8376998269512121,0.0,0.0,0.0,148.08337644699904
93,2022-03-23,147.0231928897294,135.0361760987713,160.988525433754,147.0231928897294,147.0231928897294,0.9587175802138653,0.9587175802138653,0.9587175802138653,0.9587175802138653,0.9587175802138653,0.9587175802138653,0.0,0.0,0.0,147.98191046994324
94,2022-03-24,146.80070915941096,134.6177750591181,159.8004718260187,146.80070915941096,146.80070915941096,0.4493299996125732,0.4493299996125732,0.4493299996125732,0.4493299996125732,0.4493299996125732,0.4493299996125732,0.0,0.0,0.0,147.25003915902354
