,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,2021-11-29,355.0854446260011,309.23736442733565,392.4657413069653,355.0854446260011,355.0854446260011,-1.6515499485853422,-1.6515499485853422,-1.6515499485853422,-1.6515499485853422,-1.6515499485853422,-1.6515499485853422,0.0,0.0,0.0,353.43389467741576
15,2021-11-30,354.6501604473148,309.19138186057125,391.9929175681025,354.6501604473148,354.6501604473148,-4.1238141583754935,-4.1238141583754935,-4.1238141583754935,-4.1238141583754935,-4.1238141583754935,-4.1238141583754935,0.0,0.0,0.0,350.52634628893935
16,2021-12-01,354.21487626862853,312.85429398649643,392.7655193758861,354.21487626862853,354.21487626862853,-2.949424028981537,-2.949424028981537,-2.949424028981537,-2.949424028981537,-2.949424028981537,-2.949424028981537,0.0,0.0,0.0,351.265452239647
17,2021-12-02,353.77959209237173,305.5580062922083,391.78989411567534,353.77959209237173,353.77959209237173,-5.917434928133518,-5.917434928133518,-5.917434928133518,-5.917434928133518,-5.917434928133518,-5.917434928133518,0.0,0.0,0.0,347.8621571642382
18,2021-12-03,353.344307916115,303.0536585560386,386.885319857176,353.344307916115,353.344307916115,-8.50134204287368,-8.50134204287368,-8.50134204287368,-8.50134204287368,-8.50134204287368,-8.50134204287368,0.0,0.0,0.0,344.8429658732413
19,2021-12-06,352.0384553873446,309.3768321189317,393.5167688718449,352.0384553873446,352.0384553873446,-1.65154994858294,-1.65154994858294,-1.65154994858294,-1.65154994858294,-1.65154994858294,-1.65154994858294,0.0,0.0,0.0,350.38690543876163
20,2021-12-07,351.6031712110878,306.6231611072107,390.8287046004251,351.6031712110878,351.6031712110878,-4.123814158373691,-4.123814158373691,-4.123814158373691,-4.123814158373691,-4.123814158373691,-4.123814158373691,0.0,0.0,0.0,347.4793570527141
21,2021-12-08,351.167887034831,308.5259698371741,393.1473166812197,351.167887034831,351.167887034831,-2.9494240289752516,-2.9494240289752516,-2.9494240289752516,-2.9494240289752516,-2.9494240289752516,-2.9494240289752516,0.0,0.0,0.0,348.2184630058557
22,2021-12-09,350.7326028585742,303.308001229927,385.2610136073114,350.7326028585742,350.7326028585742,-5.917434928138036,-5.917434928138036,-5.917434928138036,-5.917434928138036,-5.917434928138036,-5.917434928138036,0.0,0.0,0.0,344.81516793043613
23,2021-12-10,350.29731868231744,299.9407529454023,383.3235048997054,350.29731868231744,350.29731868231744,-8.501342042864257,-8.501342042864257,-8.501342042864257,-8.501342042864257,-8.501342042864257,-8.501342042864257,0.0,0.0,0.0,341.79597663945316
